pTiming,rTiming,tTiming
0.5925,0.707875,0.921
1.217,1.333375,1.5495
1.805,1.9245,2.1355
2.3895,2.51525,2.727
2.987,3.108125,3.3185
3.628,3.73825,3.951
4.2795,4.397125,4.613
4.969,5.087375,5.302
5.6585,5.777875,5.992
6.315,6.4245,6.6395
6.952,7.062375,7.2755
7.5575,7.672125,7.884
8.182,8.296,8.5085
8.8495,8.96775,9.0515
9.545,9.664875,9.8815
10.24,10.358875,10.5735
10.869,10.98175,11.198
11.4785,11.59625,11.813
12.0685,12.19225,12.4045
12.652,12.764375,12.9775
13.22,13.34025,13.5515
13.7945,13.90925,14.1205
14.412,14.5345,14.7485
15.1905,15.3125,15.5285
15.93,16.053625,16.268
16.659,16.775,16.9935
17.3585,17.482625,17.6995
18.066,18.173375,18.393
18.7285,18.84625,19.0645
19.346,19.47075,19.6865
19.9615,20.08875,20.303
20.564,20.68075,20.897
21.1545,21.27175,21.4875
21.735,21.85125,22.066
22.323,22.4415,22.657
22.912,23.02625,23.238
23.4895,23.6135,23.828
24.0975,24.214125,24.43
24.712,24.826,25.0405
25.3535,25.469125,25.685
25.9695,26.0825,26.2975
26.5765,26.69475,26.91
27.1855,27.300875,27.515
27.7855,27.903375,28.1175
28.363,28.484,28.698
28.943,29.061375,29.2725
29.5025,29.619625,29.832
30.051,30.172375,30.383
30.5945,30.712,30.9245
31.154,31.26975,31.4835
31.7055,31.823,32.034
32.2985,32.413,32.6275
32.8855,33.004875,33.2195
33.5165,33.6285,33.8445
34.142,34.25425,34.4695
34.812,34.92225,35.138
35.4455,35.55175,35.7695
36.087,36.2005,36.417
36.7015,36.8175,37.035
37.3125,37.422625,37.637
37.888,38.006875,38.2225
38.4745,38.59025,38.8045
39.0515,39.1645,39.3765
39.624,39.736875,39.9485
40.1865,40.297875,40.5125
40.74,40.862875,41.076
41.3205,41.437,41.6495
41.912,42.0285,42.243
42.54,42.654875,42.8695
43.166,43.285125,43.4995
43.8045,43.91725,44.1295
44.411,44.527875,44.7425
45.012,45.12475,45.34
45.575,45.6965,45.9115
46.1465,46.26825,46.4825
46.717,46.831875,47.0465
47.2795,47.393875,47.6045
47.8275,47.94825,48.162
48.382,48.50225,48.7165
48.9525,49.07025,49.281
49.529,49.644875,49.8585
50.1375,50.2405,50.453
50.7005,50.823125,51.0375
51.298,51.414625,51.6265
51.8815,51.997125,52.2105
52.4675,52.5815,52.7945
53.029,53.147125,53.358
53.5865,53.7125,53.926
54.1505,54.270375,54.4815
54.709,54.827,55.035
55.2555,55.375375,55.586
55.797,55.921125,56.129
56.3535,56.47125,56.681
56.9025,57.02075,57.2295
57.462,57.582375,57.791
58.026,58.144125,58.3535
58.618,58.735125,58.944
59.229,59.3415,59.5505
59.843,59.9535,60.165
60.448,60.561375,60.7705
61.056,61.171,61.3795
61.656,61.768,61.9805
62.247,62.363125,62.574
62.8425,62.962375,63.1715
63.434,63.56075,63.7695
64.0325,64.1495,64.361
64.6335,64.75125,64.9625
65.2395,65.35825,65.5685
65.862,65.9795,66.189
66.485,66.599625,66.8105
67.108,67.22275,67.432
67.7185,67.839125,68.0505
68.34,68.463875,68.673
68.945,69.062,69.2745
69.54,69.657875,69.8675
70.1435,70.26425,70.476
70.771,70.888125,71.097
71.383,71.500875,71.7125
72.003,72.12275,72.335
72.6335,72.747875,72.959
73.272,73.391875,73.6035
73.9,74.016375,74.229
74.513,74.627875,74.838
75.1155,75.233875,75.4465
75.708,75.830625,76.042
76.2925,76.417625,76.6275
76.882,76.998375,77.209
77.4745,77.59175,77.8005
78.0425,78.1675,78.377
78.633,78.761875,78.975
79.3185,79.43825,79.651
80.0285,80.139875,80.354
80.725,80.8375,81.0515
81.416,81.537625,81.747
82.0785,82.19725,82.411
82.732,82.85225,83.0685
83.382,83.498375,83.714
84.006,84.13325,84.345
84.656,84.773125,84.9845
85.2835,85.401125,85.612
85.89,86.006,86.219
86.487,86.60625,86.8185
87.084,87.207,87.419
87.688,87.807875,88.0175
88.3,88.417375,88.6285
88.9035,89.020125,89.23
89.52,89.64225,89.855
90.1265,90.24675,90.4585
90.766,90.880625,91.093
91.3945,91.517,91.7305
92.0835,92.198125,92.411
92.784,92.899125,93.1135
93.46,93.579375,93.794
94.121,94.2365,94.452
94.765,94.8785,95.093
95.387,95.503375,95.7165
95.999,96.11325,96.327
96.6095,96.728125,96.941
97.2195,97.335625,97.549
97.8385,97.954125,98.1655
98.443,98.561875,98.7735
99.0605,99.1815,99.3955
99.6945,99.810625,99.893
